seccion,categoria,total_fuentes,label
Script,Manuscrito,20074,Script > Manuscrito
Script,Varios,10171,Script > Varios
Fantasía,Varios,7032,Fantasía > Varios
Script,Caligrafía,5983,Script > Caligrafía
Fantasía,Animación,5929,Fantasía > Animación
Script,"Brocha, Pincel",5242,"Script > Brocha, Pincel"
Básico,Sans serif,4359,Básico > Sans serif
Básico,Serif,3321,Básico > Serif
Fantasía,Decoración,3079,Fantasía > Decoración
Tecno,Varios,2876,Tecno > Varios
Fantasía,Retro,2735,Fantasía > Retro
Fantasía,Desgastado,2215,Fantasía > Desgastado
Tecno,Ciencia ficción,1956,Tecno > Ciencia ficción
Básico,Varios,1514,Básico > Varios
Fantasía,Groovy,1447,Fantasía > Groovy
Fantasía,"Tebeo, Cómic",1364,"Fantasía > Tebeo, Cómic"
Fantasía,Terror,1301,Fantasía > Terror
Gótico,Moderno,1295,Gótico > Moderno
Dingbats,Varios,1110,Dingbats > Varios
Script,Garabato,1102,Script > Garabato
Fantasía,Distorsionado,1003,Fantasía > Distorsionado
Script,Graffiti,998,Script > Graffiti
Tecno,Cuadrado,963,Tecno > Cuadrado
Fantasía,Destrozado,924,Fantasía > Destrozado
Holiday,Halloween,858,Holiday > Halloween
Holiday,San Valentín,606,Holiday > San Valentín
Script,Old School,604,Script > Old School
Gótico,Varios,561,Gótico > Varios
Tecno,LCD,522,Tecno > LCD
Fantasía,"Stencil, Army",500,"Fantasía > Stencil, Army"
Fantasía,Rizos,492,Fantasía > Rizos
Fantasía,Oeste,488,Fantasía > Oeste
Holiday,Navidad,478,Holiday > Navidad
Gótico,Medieval,471,Gótico > Medieval
Dingbats,Formas,411,Dingbats > Formas
Aspecto extranjero,"Chino, Japonés",377,"Aspecto extranjero > Chino, Japonés"
Fantasía,Máquina de escribir,321,Fantasía > Máquina de escribir
Fantasía,Iniciales,300,Fantasía > Iniciales
Fantasía,Old School,280,Fantasía > Old School
Aspecto extranjero,Árabe,267,Aspecto extranjero > Árabe
Dingbats,Animales,225,Dingbats > Animales
Fantasía,"Fuego, Hielo",218,"Fantasía > Fuego, Hielo"
Dingbats,Caras,214,Dingbats > Caras
Gótico,Celta,179,Gótico > Celta
Dingbats,"Runas, Élfico",176,"Dingbats > Runas, Élfico"
Dingbats,"TV, Cine",150,"Dingbats > TV, Cine"
Dingbats,Niñ@s,148,Dingbats > Niñ@s
Dingbats,Logos,144,Dingbats > Logos
Script,Escolar,138,Script > Escolar
Aspecto extranjero,Ruso,134,Aspecto extranjero > Ruso
Aspecto extranjero,Varios,126,Aspecto extranjero > Varios
Básico,Ancho fijo,112,Básico > Ancho fijo
Dingbats,Naturaleza,109,Dingbats > Naturaleza
Dingbats,Antiguo,94,Dingbats > Antiguo
Aspecto extranjero,"Romano, Griego",91,"Aspecto extranjero > Romano, Griego"
Dingbats,Aliens,88,Dingbats > Aliens
Dingbats,Juegos,86,Dingbats > Juegos
Dingbats,Asia,86,Dingbats > Asia
Dingbats,Esotérico,81,Dingbats > Esotérico
Holiday,Pascua,76,Holiday > Pascua
Gótico,Iniciales,68,Gótico > Iniciales
Dingbats,Deporte,62,Dingbats > Deporte
Fantasía,Cuadrícula,59,Fantasía > Cuadrícula
Dingbats,Ejército,57,Dingbats > Ejército
Aspecto extranjero,Mexicano,57,Aspecto extranjero > Mexicano
Dingbats,Música,54,Dingbats > Música
Dingbats,Terror,49,Dingbats > Terror
Dingbats,Fantástico,44,Dingbats > Fantástico
Holiday,Varios,43,Holiday > Varios
Dingbats,Sexy,42,Dingbats > Sexy
Dingbats,Códigos de barras,33,Dingbats > Códigos de barras
